uf,municipio,desastre,decreto_estadual,data_estadual,processo,data_dou,link,cobrade,slug,geocodigo,municipiocod_TSE,semana,ano
CE,Jaguaribara,1.4.1.2.0,32896,12/12/19,59051.006311/2018-67,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-10-de-14-de-janeiro-de-2019-59076586,1.4.1.2.0,jaguaribara-ce,2306801,14370,3,2019
CE,Jaguaribe,1.4.1.2.0,32896,12/12/19,59051.006311/2018-67,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-10-de-14-de-janeiro-de-2019-59076586,1.4.1.2.0,jaguaribe-ce,2306900,14397,3,2019
CE,Lavras da Mangabeira,1.4.1.2.0,32896,12/12/19,59051.006311/2018-67,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-10-de-14-de-janeiro-de-2019-59076586,1.4.1.2.0,lavras-da-mangabeira-ce,2307502,14516,3,2019
CE,Palmácia,1.4.1.2.0,32896,12/12/19,59051.006311/2018-67,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-10-de-14-de-janeiro-de-2019-59076586,1.4.1.2.0,palmacia-ce,2310100,15032,3,2019
CE,Paramoti,1.4.1.2.0,32896,12/12/19,59051.006311/2018-67,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-10-de-14-de-janeiro-de-2019-59076586,1.4.1.2.0,paramoti-ce,2310407,15091,3,2019
CE,São Gonçalo do Amarante,1.4.1.2.0,32896,12/12/19,59051.006311/2018-67,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-10-de-14-de-janeiro-de-2019-59076586,1.4.1.2.0,sao-goncalo-do-amarante-ce,2312403,15490,3,2019
CE,São Luís do Curu,1.4.1.2.0,32896,12/12/19,59051.006311/2018-67,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-10-de-14-de-janeiro-de-2019-59076586,1.4.1.2.0,sao-luis-do-curu-ce,2312601,15539,3,2019
CE,Tabuleiro do Norte,1.4.1.2.0,32896,12/12/19,59051.006311/2018-67,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-10-de-14-de-janeiro-de-2019-59076586,1.4.1.2.0,tabuleiro-do-norte-ce,2313104,15636,3,2019
CE,Umari,1.4.1.2.0,32896,12/12/19,59051.006311/2018-67,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-10-de-14-de-janeiro-de-2019-59076586,1.4.1.2.0,umari-ce,2313708,15750,3,2019
PI,Colônia do Piauí,Estiagem -1.4.1.1.0,26,26/11/2018,59051.006321/2018-01,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-9-de-11-de-janeiro-de-2019-59075008,1.4.1.1.0,colonia-do-piaui-pi,2202778,10227,3,2019
CE,Hidrolândia,Seca -1.4.1.2.0,38,13/12/2018,59051.006317/2018-34,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-9-de-11-de-janeiro-de-2019-59075008,1.4.1.2.0,hidrolandia-ce,2305209,14052,3,2019
CE,Parambu,Seca -1.4.1.2.0,14,13/12/2018,59051.006361/2019-25,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-9-de-11-de-janeiro-de-2019-59075008,1.4.1.2.0,parambu-ce,2310308,15075,3,2019
AL,Olho D'Água Grande,Estiagem -1.4.1.1.0,7,04/12/2018,59051.006318/2018-89,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-9-de-11-de-janeiro-de-2019-59075008,1.4.1.1.0,olho-dagua-grande-al,2705903,28177,3,2019
SE,Malhada dos Bois,Estiagem -1.4.1.1.0,63,03/12/2018,59051.006328/2018-14,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-9-de-11-de-janeiro-de-2019-59075008,1.4.1.1.0,malhada-dos-bois-se,2803807,31755,3,2019
BA,Manoel Vitorino,Enxurradas -1.2.2.0.0,96,10/12/2018,59051.006358/2019-10,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-9-de-11-de-janeiro-de-2019-59075008,1.2.2.0.0,manoel-vitorino-ba,2920403,37095,3,2019
BA,Tanhaçu,Enxurradas -1.2.2.0.0,382,07/12/2018,59051.006355/2018-97,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-9-de-11-de-janeiro-de-2019-59075008,1.2.2.0.0,tanhacu-ba,2931004,39195,3,2019
MG,Bambuí,Tempestade Local/Convectiva - Chuvas Intensas - 1.3.2.1.4,2090,10/12/2018,59051.006354/2018-42,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-9-de-11-de-janeiro-de-2019-59075008,1.3.2.1.4,bambui-mg,3105103,41017,3,2019
MG,Bertópolis,Tempestade Local/Convectiva - Chuvas Intensas - 1.3.2.1.4,56,10/12/2018,59051.006366/2019-58,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-9-de-11-de-janeiro-de-2019-59075008,1.3.2.1.4,bertopolis-mg,3106606,41319,3,2019
MG,Santa Rosa da Serra,Tempestade Local/Convectiva - Vendaval - 1.3.2.1.5,33,06/12/2018,59051.006289/2018-55,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-9-de-11-de-janeiro-de-2019-59075008,1.3.2.1.5,santa-rosa-da-serra-mg,3159704,51934,3,2019
MG,Simão Pereira,Tempestade Local/Convectiva - Tornados - 1.3.2.1.1,1812,06/12/2018,59051.006291/2018-24,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-9-de-11-de-janeiro-de-2019-59075008,1.3.2.1.1,simao-pereira-mg,3167509,53490,3,2019
PR,Guaraqueçaba,Enxurradas -1.2.2.0.0,2617,08/01/2019,59051.006399/2019-06,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-9-de-11-de-janeiro-de-2019-59075008,1.2.2.0.0,guaraquecaba-pr,4109500,75850,3,2019
RS,Progresso,Enxurradas -1.2.2.0.0,2.110.08,03/12/2018,59051.006356/2018-31,15/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-9-de-11-de-janeiro-de-2019-59075008,1.2.2.0.0,progresso-rs,4315156,84760,3,2019
AL,Belém,Estiagem -1.4.1.1.0,13,09/11/2018,59051.006204/2018-39,22/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-23-de-21-de-janeiro-de-2019-59984788,1.4.1.1.0,belem-al,2700805,27154,4,2019
AM,Manaus,Incêndios em aglomerados residenciais -2.3.1.2.0,4241,18/12/2018,59051.006363/2019-14,24/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-24-de-22-de-janeiro-de-2019-60341602,2.3.1.2.0,manaus-am,1302603,2550,4,2019
CE,Itatira,Seca - 1.4.1.2.0,3,09/01/2019,59051.006408/2019-51,24/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-24-de-22-de-janeiro-de-2019-60341602,1.4.1.2.0,itatira-ce,2306603,14338,4,2019
SE,Amparo de São Francisco,Estiagem - 1.4.1.1.0,64,07/12/2018,59051.006370/2019-16,24/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-24-de-22-de-janeiro-de-2019-60341602,1.4.1.1.0,amparo-de-sao-francisco-se,2800100,31011,4,2019
SE,Carira,Seca - 1.4.1.2.0,184,26/12/2018,59051.006367/2019-01,24/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-24-de-22-de-janeiro-de-2019-60341602,1.4.1.2.0,carira-se,2801405,31275,4,2019
SE,Tobias Barreto,Seca - 1.4.1.2.0,1219,17/12/2018,59051.006369/2019-91,24/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-24-de-22-de-janeiro-de-2019-60341602,1.4.1.2.0,tobias-barreto-se,2807402,32476,4,2019
BA,Ilhéus,Tempestade Local/Convectiva - Chuvas Intensas - 1.3.2.1.4,125,23/11/2018,59051.006236/2018-34,24/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-24-de-22-de-janeiro-de-2019-60341602,1.3.2.1.4,ilheus-ba,2913606,35734,4,2019
BA,Jequié,Enxurradas - 1.2.2.0.0,19504,04/12/2018,59051.006364/2019-69,24/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-24-de-22-de-janeiro-de-2019-60341602,1.2.2.0.0,jequie-ba,2918001,36617,4,2019
BA,Jucuruçu,Enxurradas - 1.2.2.0.0,481,04/12/2018,59051.006365/2019-11,24/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-24-de-22-de-janeiro-de-2019-60341602,1.2.2.0.0,jucurucu-ba,2918456,36706,4,2019
BA,Mucuri,Erosão Costeira/Marinha - 1.1.4.1.0,2340,28/11/2018,59051.006353/2018-06,24/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-24-de-22-de-janeiro-de-2019-60341602,1.1.4.1.0,mucuri-ba,2922003,37419,4,2019
BA,Remanso,Estiagem - 1.4.1.1.0,2489,27/12/2018,59051.006359/2019-56,24/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-24-de-22-de-janeiro-de-2019-60341602,1.4.1.1.0,remanso-ba,2926004,38210,4,2019
MG,Matias Cardoso,Estiagem - 1.4.1.1.0,163,17/12/2018,59051.006397/2019-17,24/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-24-de-22-de-janeiro-de-2019-60341602,1.4.1.1.0,matias-cardoso-mg,3140852,40444,4,2019
MG,Carbonita,Estiagem - 1.4.1.1.0,587,10/12/2018,59051.006434/2019-89,24/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-24-de-22-de-janeiro-de-2019-60341602,1.4.1.1.0,carbonita-mg,3113503,42692,4,2019
MG,Januária,Estiagem - 1.4.1.1.0,4226,10/01/2019,59051.006413/2019-63,24/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-24-de-22-de-janeiro-de-2019-60341602,1.4.1.1.0,januaria-mg,3135209,47031,4,2019
MG,Juramento,Estiagem - 1.4.1.1.0,297,17/12/2018,59051.006329/2018-69,24/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-24-de-22-de-janeiro-de-2019-60341602,1.4.1.1.0,juramento-mg,3136801,47350,4,2019
SP,Tejupá,Colapso de Edificações - 2.4.1.0.0,2975,21/12/2018,59051.006398/2019-53,24/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-24-de-22-de-janeiro-de-2019-60341602,2.4.1.0.0,tejupa-sp,3554201,71854,4,2019
SC,São Lourenço do Oeste,Tempestade Local/Convectiva - Chuvas Intensas - 1.3.2.1.4,6131,29/11/2018,59051.006400/2019-94,24/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-24-de-22-de-janeiro-de-2019-60341602,1.3.2.1.4,sao-lourenco-do-oeste-sc,4216909,83330,4,2019
RS,Alegrete,Tempestade Local/Convectiva - Chuvas Intensas - 1.3.2.1.4,11,10/01/2019,59051.006439/2019-10,24/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-24-de-22-de-janeiro-de-2019-60341602,1.3.2.1.4,alegrete-rs,4300406,85073,4,2019
RS,Dom Pedrito,Enxurradas - 1.2.2.0.0,4,09/01/2019,59051.006431/2019-45,24/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-24-de-22-de-janeiro-de-2019-60341602,1.2.2.0.0,dom-pedrito-rs,4306601,86290,4,2019
RS,Gentil,Tempestade Local/Convectiva - Granizo - 1.3.2.1.3,55,28/12/2018,59051.006405/2019-17,24/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-24-de-22-de-janeiro-de-2019-60341602,1.3.2.1.3,gentil-rs,4308854,86746,4,2019
RS,Quaraí,Tempestade Local/Convectiva - Chuvas Intensas - 1.3.2.1.4,1,11/01/2019,59051.006430/2019-09,24/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-24-de-22-de-janeiro-de-2019-60341602,1.3.2.1.4,quarai-rs,4315305,88099,4,2019
RS,Rosário do Sul,Tempestade Local/Convectiva - Chuvas Intensas - 1.3.2.1.4,1,10/01/2019,59051.006403/2019-28,24/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-24-de-22-de-janeiro-de-2019-60341602,1.3.2.1.4,rosario-do-sul-rs,4316402,88315,4,2019
RS,São Francisco de Assis,Enxurradas - 1.2.2.0.0,933,10/01/2019,59051.006432/2019-90,24/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-24-de-22-de-janeiro-de-2019-60341602,1.2.2.0.0,sao-francisco-de-assis-rs,4318101,88650,4,2019
RS,Uruguaiana,Tempestade Local/Convectiva - Vendaval - 1.3.2.1.5,12,11/01/2019,59051.006412/2019-19,24/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-24-de-22-de-janeiro-de-2019-60341602,1.3.2.1.5,uruguaiana-rs,4322400,89516,4,2019
CE,Choró,Seca - 1.4.1.2.0,44,26/12/2018,59051.006435/2019-23,28/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-26-de-24-de-janeiro-de-2019-60739498,1.4.1.2.0,choro-ce,2303931,13463,5,2019
BA,Andorinha,Estiagem - 1.4.1.1.0,150,24/12/2018,59051.006446/2019-11,28/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-26-de-24-de-janeiro-de-2019-60739498,1.4.1.1.0,andorinha-ba,2901353,33260,5,2019
MG,Sabará,Tempestade Local/Convectiva - Chuvas Intensas - 1.3.2.1.4,1116,29/12/2018,59051.006440/2019-36,28/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-26-de-24-de-janeiro-de-2019-60739498,1.3.2.1.4,sabara-mg,3156700,51330,5,2019
RS,Bagé,Enxurradas - 1.2.2.0.0,2,10/01/2019,59051.006441/2019-81,28/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-26-de-24-de-janeiro-de-2019-60739498,1.2.2.0.0,bage-rs,4301602,85316,5,2019
RS,Lavras do Sul,Tempestade Local/Convectiva - Chuvas Intensas - 1.3.2.1.4,7298,10/01/2019,59051.006438/2019-67,28/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-26-de-24-de-janeiro-de-2019-60739498,1.3.2.1.4,lavras-do-sul-rs,4311502,87319,5,2019
RS,São Gabriel,Tempestade Local/Convectiva - Chuvas Intensas - 1.3.2.1.4,2,11/01/2019,59051.006443/2019-70,28/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-26-de-24-de-janeiro-de-2019-60739498,1.3.2.1.4,sao-gabriel-rs,4318309,88692,5,2019
AL,Água Branca,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,agua-branca-al,2700102,27014,5,2019
AL,Pariconha,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,pariconha-al,2706422,27022,5,2019
AL,Estrela de Alagoas,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,estrela-de-alagoas-al,2702553,27049,5,2019
AL,Arapiraca,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,arapiraca-al,2700300,27057,5,2019
AL,Batalha,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,batalha-al,2700706,27138,5,2019
AL,Belo Monte,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,belo-monte-al,2700904,27170,5,2019
AL,Cacimbinhas,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,cacimbinhas-al,2701209,27235,5,2019
AL,Canapi,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,canapi-al,2701605,27316,5,2019
AL,Carneiros,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,carneiros-al,2701803,27359,5,2019
AL,Coité do Nóia,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,coite-do-noia-al,2702009,27391,5,2019
AL,Delmiro Gouveia,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,delmiro-gouveia-al,2702405,27472,5,2019
AL,Dois Riachos,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,dois-riachos-al,2702504,27499,5,2019
AL,Girau do Ponciano,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,girau-do-ponciano-al,2702900,27570,5,2019
AL,Igaci,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,igaci-al,2703106,27618,5,2019
AL,Inhapi,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,inhapi-al,2703304,27650,5,2019
AL,Jacaré dos Homens,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,jacare-dos-homens-al,2703403,27677,5,2019
AL,Jaramataia,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,jaramataia-al,2703700,27731,5,2019
AL,Lagoa da Canoa,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,lagoa-da-canoa-al,2704104,27812,5,2019
AL,Major Isidoro,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,major-isidoro-al,2704401,27871,5,2019
AL,Maravilha,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,maravilha-al,2704609,27910,5,2019
AL,Mata Grande,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,mata-grande-al,2705002,27995,5,2019
AL,Minador do Negrão,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,minador-do-negrao-al,2705309,28053,5,2019
AL,Monteirópolis,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,monteiropolis-al,2705408,28070,5,2019
AL,Olho D'Água das Flores,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,olho-dagua-das-flores-al,2705705,28134,5,2019
AL,Olho D'Água do Casado,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,olho-dagua-do-casado-al,2705804,28150,5,2019
AL,Olivença,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,olivenca-al,2706000,28193,5,2019
AL,Ouro Branco,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,ouro-branco-al,2706109,28215,5,2019
AL,Palestina,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,palestina-al,2706208,28231,5,2019
AL,Palmeira dos Índios,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,palmeira-dos-indios-al,2706307,28258,5,2019
AL,Pão de Açúcar,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,pao-de-acucar-al,2706406,28274,5,2019
AL,Piranhas,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,piranhas-al,2707107,28410,5,2019
AL,Poço das Trincheiras,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,poco-das-trincheiras-al,2707206,28436,5,2019
AL,Quebrangulo,EStiagem – 1.4.1.1.0,63536,16/01/19,59051.006391/2019-31,30/01/2019,https://www.in.gov.br/web/dou/-/portaria-n-27-de-24-de-janeiro-de-2019-61135081,1.4.1.1.0,quebrangulo-al,2707602,28517,5,2019
